"ensembl_gene_id","entrezgene_id","mgi_symbol","gene_biotype","chromosome_name","start_position","end_position","p.overall","q.overall","post.hoc.A.By.p","post.hoc.peak.By.p","post.hoc.M.By.p","post.hoc.A.By.q","post.hoc.peak.By.q","post.hoc.M.By.q","A1","A2","delta.A","p.delta.A","q.delta.A","peak1","peak2","delta.peak","p.delta.peak","q.delta.peak","M1","M2","delta.M","p.delta.M","q.delta.M","P"
"ENSMUSG00000026127",27993,"Imp4","protein_coding","1",34478932,34488437,0.002,0.006,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.076,0.058,-0.018,0.353,0.997,20.93,16.555,-4.375,0,0.002,10.673,10.66,-0.013,0.339,0.649,24
"ENSMUSG00000037470",320011,"Uggt1","protein_coding","1",36179108,36283801,0.006,0.014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.124,0.088,-0.036,0.277,0.997,19.483,16.204,-3.279,0.02,0.031,11.983,11.928,-0.055,0.023,0.196,24
"ENSMUSG00000037447",214855,"Arid5a","protein_coding","1",36346814,36363110,0.084,0.108,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.102,0.108,0.006,0.851,0.997,15.35,12.064,-3.286,0.011,0.02,8.963,8.969,0.006,0.81,0.936,24
"ENSMUSG00000001143",214895,"Lman2l","protein_coding","1",36458952,36484352,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.229,0.16,-0.069,0.038,0.786,22.796,18.533,-4.263,0,0,11.43,11.412,-0.018,0.45,0.727,24
"ENSMUSG00000001138",94218,"Cnnm3","protein_coding","1",36550948,36567318,0.001,0.004,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.075,0.044,-0.031,0.091,0.889,0.082,19.377,19.296,0.001,0.003,11.25,11.24,-0.01,0.449,0.726,24
"ENSMUSG00000079610",109346,"Ankrd39","protein_coding","1",36576588,36586526,0,0.001,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.183,0.126,-0.057,0.183,0.994,8.848,4.797,-4.051,0,0.002,8.28,8.367,0.087,0.005,0.125,24
"ENSMUSG00000026121",20353,"Sema4c","protein_coding","1",36587720,36597430,0.011,0.022,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.109,0.072,-0.037,0.158,0.959,1.846,22.474,20.628,0.008,0.016,10.048,10.035,-0.012,0.502,0.767,24
"ENSMUSG00000087589",NA,"D430040D24Rik","lncRNA","1",36596782,36604694,0.006,0.013,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.138,0.118,-0.02,0.636,0.997,5.326,0.525,-4.801,0.001,0.005,7.32,7.304,-0.016,0.603,0.832,24
"ENSMUSG00000060771",211484,"Tsga10","protein_coding","1",37793857,37905510,0.272,0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.09,0.076,-0.014,0.672,0.997,20.327,17.771,-2.556,0.105,0.123,8.636,8.615,-0.021,0.361,0.662,24
"ENSMUSG00000026080",98388,"Chst10","protein_coding","1",38902948,38937242,0.029,0.046,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.065,0.066,0.001,0.96,0.997,19.003,15.294,-3.709,0.009,0.018,11.879,11.905,0.027,0.099,0.368,24
"ENSMUSG00000026077",18143,"Npas2","protein_coding","1",39232812,39402317,0.001,0.003,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.169,0.125,-0.044,0.295,0.997,22.364,17.706,-4.659,0,0.001,9.381,9.366,-0.014,0.632,0.849,24
"ENSMUSG00000048234",67702,"Rnf149","protein_coding","1",39590377,39616486,0.005,0.012,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.091,0.073,-0.018,0.448,0.997,7.824,4.084,-3.74,0.003,0.009,10.07,10.101,0.031,0.072,0.315,24
"ENSMUSG00000060424",NA,"Pantr1","lncRNA","1",42629754,42734584,0.033,0.051,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.151,0.097,-0.054,0.237,0.997,19.365,15.073,-4.292,0.022,0.033,8.26,8.267,0.007,0.84,0.945,24
"ENSMUSG00000045515",18993,"Pou3f3","protein_coding","1",42734085,42742336,0.001,0.003,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.143,0.105,-0.038,0.261,0.997,17.763,13.136,-4.627,0,0.002,11.151,11.158,0.007,0.764,0.915,24
"ENSMUSG00000026048",22592,"Ercc5","protein_coding","1",44186904,44220420,0.014,0.027,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.074,0.052,-0.022,0.447,0.997,9.078,4.389,-4.689,0.016,0.026,9.461,9.502,0.041,0.051,0.276,24
"ENSMUSG00000026043",12825,"Col3a1","protein_coding","1",45350698,45388866,0.001,0.005,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.427,0.224,-0.203,0.112,0.906,1.236,22.418,21.182,0.1,0.119,11.305,11.041,-0.264,0.004,0.121,24
"ENSMUSG00000025993",53945,"Slc40a1","protein_coding","1",45947228,45965683,0.195,0.223,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.166,0.137,-0.03,0.408,0.997,4.489,2.72,-1.77,0.06,0.075,8.989,8.975,-0.014,0.572,0.815,24
"ENSMUSG00000025986",227059,"Slc39a10","protein_coding","1",46846704,46932012,0.012,0.023,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.121,0.088,-0.033,0.279,0.997,21.738,18.401,-3.336,0.006,0.013,12.285,12.258,-0.026,0.224,0.542,24
"ENSMUSG00000026096",72085,"Osgepl1","protein_coding","1",53352783,53365502,0,0.002,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.106,0.06,-0.045,0.201,0.997,9.982,3.325,-6.657,0.012,0.021,7.766,7.822,0.056,0.027,0.21,24
"ENSMUSG00000052331",329154,"Ankrd44","protein_coding","1",54684499,54965546,0.002,0.007,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.066,0.087,0.021,0.499,0.997,6.735,0.173,-6.561,0.001,0.004,10.124,10.104,-0.021,0.333,0.643,24
"ENSMUSG00000025982",81898,"Sf3b1","protein_coding","1",55024328,55066640,0.002,0.007,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.06,0.062,0.002,0.941,0.997,5.478,23.649,18.171,0.001,0.004,12.725,12.712,-0.013,0.382,0.676,24
"ENSMUSG00000025981",67876,"Coq10b","protein_coding","1",55091929,55111861,0.011,0.022,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.163,0.101,-0.062,0.051,0.843,10.288,7.617,-2.671,0.012,0.021,9.406,9.392,-0.014,0.531,0.787,24
"ENSMUSG00000025980",15510,"Hspd1","protein_coding","1",55116994,55127402,0.002,0.006,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.098,0.084,-0.014,0.59,0.997,19.854,15.725,-4.129,0,0.003,13.253,13.226,-0.026,0.148,0.444,24
"ENSMUSG00000073676",15528,"Hspe1","protein_coding","1",55127291,55130466,0.015,0.029,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.142,0.094,-0.048,0.265,0.997,19.338,15.104,-4.234,0.012,0.021,11.257,11.298,0.042,0.175,0.48,24
"ENSMUSG00000026037",18393,"Orc2","protein_coding","1",58501930,58544268,0.063,0.086,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.054,0.057,0.003,0.893,0.997,14.514,10.305,-4.209,0.006,0.014,10.274,10.273,-0.001,0.949,0.983,24
"ENSMUSG00000026024",74018,"Als2","protein_coding","1",59202085,59276390,0.131,0.16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.053,0.06,0.007,0.778,0.997,18.605,14.816,-3.79,0.025,0.036,11.26,11.248,-0.012,0.466,0.742,24
"ENSMUSG00000026020",55989,"Nop58","protein_coding","1",59724130,59758203,0.004,0.012,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.075,0.067,-0.008,0.756,0.997,8.255,2.651,-5.604,0.001,0.004,11.273,11.266,-0.008,0.671,0.868,24
"ENSMUSG00000025958",12912,"Creb1","protein_coding","1",64571804,64643707,0,0.002,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.131,0.066,-0.065,0.064,0.886,18.05,13.762,-4.289,0.035,0.048,11.22,11.145,-0.075,0.003,0.119,24
"ENSMUSG00000025946",213527,"Pth2r","protein_coding","1",65321215,65428403,0.025,0.041,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.117,0.119,0.002,0.972,0.997,19.37,13.446,-5.924,0.003,0.01,7.572,7.572,0,0.993,0.998,24
"ENSMUSG00000026005",66646,"Rpe","protein_coding","1",66739990,66758964,0,0.001,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.14,0.105,-0.035,0.237,0.997,19.472,15.217,-4.255,0,0.001,9.572,9.543,-0.029,0.164,0.465,24
"ENSMUSG00000026004",68691,"Kansl1l","protein_coding","1",66758407,66856721,0.003,0.009,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.076,0.077,0.001,0.986,0.997,16.587,10.843,-5.745,0.003,0.009,8.641,8.595,-0.046,0.039,0.248,24
"ENSMUSG00000121277",NA,"Gm57184","lncRNA","1",72275642,72305891,0.102,0.129,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.096,0.087,-0.009,0.842,0.997,1.193,20.815,19.622,0.025,0.035,7.894,7.923,0.029,0.352,0.655,24
"ENSMUSG00000026189",111175,"Pecr","protein_coding","1",72298326,72323473,0.307,0.335,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.123,0.084,-0.039,0.263,0.997,7.299,5.213,-2.086,0.129,0.148,7.868,7.87,0.002,0.934,0.977,24
"ENSMUSG00000026187",22596,"Xrcc5","protein_coding","1",72346586,72434111,0.061,0.084,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.066,0.041,-0.025,0.236,0.997,6.385,2.18,-4.205,0.029,0.041,9.402,9.398,-0.004,0.801,0.936,24
NA,NA,NA,NA,NA,NA,NA,0.005,0.012,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.066,0.053,-0.013,0.598,0.997,16.707,10.128,-6.579,0.005,0.012,10.415,10.42,0.005,0.788,0.93,24
"ENSMUSG00000026172",66821,"Bcs1l","protein_coding","1",74627448,74631602,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.106,0.048,-0.058,0.011,0.515,23.612,17.063,-6.549,0.004,0.011,9.584,9.586,0.002,0.918,0.973,24
"ENSMUSG00000026171",57751,"Rnf25","protein_coding","1",74632907,74640556,0,0.001,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.122,0.057,-0.066,0.044,0.793,9.56,3.717,-5.844,0.006,0.014,10.183,10.245,0.062,0.008,0.134,24
"ENSMUSG00000026203",56812,"Dnajb2","protein_coding","1",75213050,75222336,0,0.002,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.1,0.063,-0.037,0.079,0.889,20.575,16.05,-4.525,0,0.001,12.815,12.806,-0.008,0.576,0.818,24
"ENSMUSG00000033021",69080,"Gmppa","protein_coding","1",75412574,75419823,0.016,0.03,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.058,0.046,-0.013,0.596,0.997,14.542,9.031,-5.511,0.009,0.018,9.698,9.72,0.022,0.197,0.507,24
"ENSMUSG00000032908",433323,"Sgpp2","protein_coding","1",78286982,78396926,0.907,0.911,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.123,0.132,0.008,0.866,0.997,18.61,17.566,-1.044,0.496,0.511,10.126,10.122,-0.004,0.913,0.969,24
"ENSMUSG00000026245",23874,"Farsb","protein_coding","1",78394612,78465534,0.116,0.144,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.049,0.063,0.014,0.492,0.997,21.792,18.465,-3.327,0.021,0.032,11.339,11.339,0,0.994,0.998,24
"ENSMUSG00000043230",241128,"Fam124b","protein_coding","1",80176423,80196190,0.005,0.012,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.24,0.196,-0.044,0.392,0.997,23.358,20.265,-3.093,0.001,0.004,5.67,5.646,-0.024,0.515,0.774,24
"ENSMUSG00000038496",80721,"Slc19a3","protein_coding","1",82990244,83016169,0.022,0.038,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.124,0.126,0.002,0.965,0.997,20.773,16.899,-3.874,0.006,0.014,7.551,7.519,-0.032,0.295,0.61,24
"ENSMUSG00000045658",98496,"Pid1","protein_coding","1",84014017,84341901,0.004,0.011,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.046,0.06,0.014,0.528,0.997,21.571,14.736,-6.836,0.004,0.012,10.818,10.83,0.012,0.439,0.723,24
"ENSMUSG00000073633",66153,"Fbxo36","protein_coding","1",84817562,84878208,0.063,0.086,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.104,0.071,-0.033,0.349,0.997,6.363,2.566,-3.797,0.034,0.047,7.618,7.588,-0.029,0.242,0.558,24
"ENSMUSG00000079445",227327,"B3gnt7","protein_coding","1",86230554,86235027,0.01,0.021,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.107,0.065,-0.042,0.199,0.997,3.053,22.148,19.095,0.007,0.015,7.777,7.784,0.007,0.753,0.911,24
"ENSMUSG00000073627",NA,"C130036L24Rik","lncRNA","1",86287296,86301513,0.36,0.386,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.094,0.086,-0.008,0.847,0.997,6.98,4.308,-2.672,0.152,0.171,6.715,6.744,0.029,0.334,0.643,24
"ENSMUSG00000048000",227331,"Gigyf2","protein_coding","1",87254720,87378518,0.59,0.608,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.057,0.051,-0.006,0.766,0.997,16.98,14.92,-2.06,0.179,0.199,11.918,11.915,-0.002,0.867,0.954,24
"ENSMUSG00000079434",23956,"Neu2","protein_coding","1",87437611,87525567,0.005,0.012,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.15,0.115,-0.034,0.467,0.997,14.116,9.717,-4.398,0.004,0.011,7.005,7.058,0.052,0.12,0.403,24
"ENSMUSG00000081984",15504,"Dnajb3","protein_coding","1",88132454,88133504,0.011,0.023,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.114,0.068,-0.046,0.224,0.997,2.204,20.964,18.76,0.014,0.023,7.002,6.987,-0.015,0.567,0.812,24
"ENSMUSG00000026301",74918,"Iqca","protein_coding","1",89969854,90081123,0.013,0.025,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.173,0.133,-0.041,0.553,0.997,5.216,22.98,17.764,0.013,0.022,8.15,8.164,0.014,0.765,0.915,24
"ENSMUSG00000026308",70788,"Klhl30","protein_coding","1",91278738,91290138,0.004,0.01,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.134,0.125,-0.009,0.85,0.997,2.123,21.874,19.751,0.006,0.014,6.514,6.436,-0.078,0.028,0.212,24
"ENSMUSG00000026309",67444,"Ilkap","protein_coding","1",91301583,91326537,0.025,0.041,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.081,0.059,-0.022,0.358,0.997,18.46,14.717,-3.743,0.01,0.019,10.529,10.551,0.022,0.192,0.503,24
"ENSMUSG00000055866",18627,"Per2","protein_coding","1",91343704,91387046,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.437,0.278,-0.158,0.011,0.515,11.222,6.445,-4.777,0,0,10.682,10.693,0.011,0.81,0.936,24
"ENSMUSG00000026313",208727,"Hdac4","protein_coding","1",91856501,92123421,0.192,0.221,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.106,0.062,-0.044,0.164,0.965,16.866,14.356,-2.51,0.135,0.154,11.407,11.398,-0.009,0.694,0.88,24
"ENSMUSG00000097251",75995,"5033417F24Rik","lncRNA","1",92836100,92838486,0.208,0.237,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.095,0.099,0.004,0.905,0.997,19.293,16.294,-3,0.041,0.055,7.48,7.471,-0.009,0.707,0.886,24
"ENSMUSG00000026270",23830,"Capn10","protein_coding","1",92862098,92875663,0.002,0.005,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.078,0.057,-0.021,0.432,0.997,11.569,8.565,-3.005,0.046,0.06,10.331,10.39,0.059,0.002,0.119,24
"ENSMUSG00000026275",66385,"Ppp1r7","protein_coding","1",93270576,93301211,0.012,0.023,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.065,0.038,-0.028,0.204,0.997,8.951,3.058,-5.893,0.004,0.011,11.517,11.522,0.006,0.718,0.891,24
"ENSMUSG00000034088",110611,"Hdlbp","protein_coding","1",93333662,93406537,0.357,0.383,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.055,0.047,-0.008,0.751,0.997,19.264,17.932,-1.332,0.486,0.501,13.342,13.314,-0.028,0.106,0.381,24
"ENSMUSG00000034066",227377,"Farp2","protein_coding","1",93439801,93549698,0.004,0.011,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.122,0.081,-0.042,0.168,0.97,19.557,16.238,-3.32,0.01,0.018,9.25,9.206,-0.044,0.043,0.258,24
"ENSMUSG00000026280",66615,"Atg4b","protein_coding","1",93679222,93718332,0.002,0.007,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.035,0.046,0.011,0.455,0.997,20.202,13.872,-6.33,0.005,0.013,11.447,11.459,0.012,0.241,0.558,24
"ENSMUSG00000026283",66262,"Ing5","protein_coding","1",93731687,93749823,0,0.001,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.08,0.051,-0.029,0.261,0.997,12.734,3.081,-9.653,0.011,0.02,9.529,9.539,0.01,0.593,0.826,24
"ENSMUSG00000034000",241159,"Neu4","protein_coding","1",93948173,93956056,0,0.001,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.136,0.108,-0.028,0.424,0.997,16.215,11.219,-4.995,0,0.002,9.9,9.858,-0.042,0.09,0.348,24
"ENSMUSG00000040648",227399,"Ppip5k2","protein_coding","1",97633773,97698136,0.001,0.005,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.084,0.11,0.025,0.469,0.997,7.67,1.407,-6.263,0,0.002,10.09,10.095,0.005,0.838,0.945,24
"ENSMUSG00000057329",12043,"Bcl2","protein_coding","1",106465908,106642004,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.102,0.082,-0.021,0.455,0.997,18.313,11.147,-7.167,0,0.003,10.884,10.87,-0.014,0.464,0.742,24
"ENSMUSG00000009905",70750,"Kdsr","protein_coding","1",106648189,106687457,0.118,0.146,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.051,0.056,0.006,0.791,0.997,10.123,6.386,-3.737,0.018,0.029,10.509,10.497,-0.012,0.441,0.725,24
"ENSMUSG00000047216",227485,"Cdh19","protein_coding","1",110816056,110905314,0,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.333,0.177,-0.156,0.026,0.651,16.038,11.515,-4.523,0.003,0.009,8.893,8.733,-0.159,0.001,0.119,24
"ENSMUSG00000038702",319901,"Dsel","protein_coding","1",111786432,111792648,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.14,0.094,-0.046,0.108,0.895,21.24,16.481,-4.759,0,0,10.272,10.231,-0.04,0.051,0.276,24
"ENSMUSG00000036975",66343,"Tmem177","protein_coding","1",119835620,119840938,0.006,0.015,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.084,0.074,-0.01,0.674,0.997,18.623,14.212,-4.412,0.001,0.004,9.06,9.056,-0.005,0.778,0.925,24
"ENSMUSG00000026387",319229,"Sctr","protein_coding","1",119934624,119991266,0.006,0.014,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.194,0.091,-0.103,0.016,0.582,2.903,23.887,20.984,0.041,0.055,6.662,6.655,-0.007,0.822,0.94,24
"ENSMUSG00000050534",15564,"Htr5b","protein_coding","1",121437571,121456194,0.201,0.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.127,0.114,-0.012,0.833,0.997,4.991,0.884,-4.108,0.038,0.051,6.982,6.995,0.013,0.756,0.913,24
"ENSMUSG00000036086",226409,"Zranb3","protein_coding","1",127881921,128030784,0.684,0.697,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.066,0.061,-0.005,0.865,0.997,9.042,8.236,-0.806,0.625,0.637,8.566,8.587,0.021,0.285,0.602,24
"ENSMUSG00000026355",17219,"Mcm6","protein_coding","1",128259327,128287401,0.019,0.033,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.113,0.118,0.006,0.877,0.997,5.324,2.349,-2.975,0.019,0.029,9.493,9.438,-0.054,0.035,0.233,24
"ENSMUSG00000042581",210417,"Thsd7b","protein_coding","1",129201039,130147015,0.231,0.26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.071,0.066,-0.004,0.887,0.997,3.57,0.357,-3.213,0.073,0.089,10.232,10.212,-0.02,0.348,0.654,24
"ENSMUSG00000026427",16865,"Eif2d","protein_coding","1",131080918,131115395,0.003,0.009,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.083,0.048,-0.034,0.198,0.997,8.453,3.868,-4.585,0.015,0.024,9.257,9.301,0.044,0.021,0.192,24
NA,NA,NA,NA,NA,NA,NA,0.028,0.044,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.056,0.069,0.013,0.634,0.997,2.976,21.573,18.597,0.002,0.008,11.768,11.776,0.008,0.679,0.871,24
"ENSMUSG00000026439",213464,"Rbbp5","protein_coding","1",132405103,132433397,0.141,0.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.073,0.062,-0.012,0.599,0.997,19.282,16.686,-2.596,0.049,0.063,11.423,11.404,-0.019,0.248,0.566,24
"ENSMUSG00000064246",12654,"Chil1","protein_coding","1",134109914,134117919,0.001,0.004,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.098,0.069,-0.029,0.417,0.997,22.431,14.126,-8.304,0.011,0.02,9.329,9.349,0.02,0.437,0.723,24
"ENSMUSG00000042305",57439,"Tmem183a","protein_coding","1",134273835,134289717,0.041,0.061,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.059,0.038,-0.021,0.322,0.997,20.439,16.283,-4.156,0.021,0.032,11.502,11.479,-0.023,0.135,0.43,24
"ENSMUSG00000042229",98710,"Rabif","protein_coding","1",134422386,134436512,0.011,0.022,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.072,0.047,-0.025,0.187,0.997,18.932,14.652,-4.281,0.007,0.015,10.491,10.482,-0.01,0.473,0.748,24
"ENSMUSG00000042793",329252,"Lgr6","protein_coding","1",134911039,135033014,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.331,0.156,-0.175,0.018,0.591,0.821,20.761,19.94,0.01,0.019,9.091,8.943,-0.148,0.005,0.125,24
"ENSMUSG00000041926",215615,"Rnpep","protein_coding","1",135190450,135211822,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.157,0.124,-0.033,0.293,0.997,20.483,16.169,-4.314,0,0,11.063,11.017,-0.046,0.039,0.248,24
"ENSMUSG00000041889",77552,"Shisa4","protein_coding","1",135298795,135302975,0.271,0.299,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.106,0.097,-0.009,0.778,0.997,6.556,4.48,-2.076,0.102,0.12,11.563,11.537,-0.026,0.262,0.582,24
"ENSMUSG00000041879",226432,"Ipo9","protein_coding","1",135310050,135358237,0.001,0.003,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.191,0.148,-0.043,0.181,0.994,18.28,15.225,-3.055,0,0.002,12.895,12.901,0.006,0.803,0.936,24
