"ensembl_gene_id_version","ensembl_gene_id","entrezgene_id","mgi_symbol","gene_biotype","chromosome_name","start_position","end_position"
"ENSMUSG00000001420.14","ENSMUSG00000001420",71913,"Tmem79","protein_coding","3",88235962,88243455
"ENSMUSG00000001674.12","ENSMUSG00000001674",66942,"Ddx18","protein_coding","1",121481564,121495718
"ENSMUSG00000001767.6","ENSMUSG00000001767",66877,"Crnkl1","protein_coding","2",145759399,145776934
"ENSMUSG00000001768.17","ENSMUSG00000001768",74030,"Rin2","protein_coding","2",145517135,145729536
"ENSMUSG00000001768.17","ENSMUSG00000001768",408057,"Rin2","protein_coding","2",145517135,145729536
"ENSMUSG00000001855.16","ENSMUSG00000001855",227720,"Nup214","protein_coding","2",31864448,31943987
"ENSMUSG00000001864.14","ENSMUSG00000001864",108897,"Aif1l","protein_coding","2",31840151,31863454
"ENSMUSG00000001998.16","ENSMUSG00000001998",108011,"Ap4e1","protein_coding","2",126850637,126909829
"ENSMUSG00000001999.16","ENSMUSG00000001999",109778,"Blvra","protein_coding","2",126912585,126939004
"ENSMUSG00000002102.16","ENSMUSG00000002102",19182,"Psmc3","protein_coding","2",90884354,90896714
"ENSMUSG00000002103.17","ENSMUSG00000002103",11432,"Acp2","protein_coding","2",91033230,91044443
"ENSMUSG00000002104.12","ENSMUSG00000002104",19400,"Rapsn","protein_coding","2",90865965,90876074
"ENSMUSG00000002105.16","ENSMUSG00000002105",68427,"Slc39a13","protein_coding","2",90892136,90900762
"ENSMUSG00000002107.19","ENSMUSG00000002107",14007,"Celf2","protein_coding","2",6544505,7514374
"ENSMUSG00000002108.11","ENSMUSG00000002108",22259,"Nr1h3","protein_coding","2",91014406,91033179
"ENSMUSG00000002109.15","ENSMUSG00000002109",107986,"Ddb2","protein_coding","2",91041917,91067327
"ENSMUSG00000002111.9","ENSMUSG00000002111",20375,"Spi1","protein_coding","2",90912735,90946101
"ENSMUSG00000002227.16","ENSMUSG00000002227",17454,"Mov10","protein_coding","3",104702152,104725879
"ENSMUSG00000002228.8","ENSMUSG00000002228",71887,"Ppm1j","protein_coding","3",104688372,104693334
"ENSMUSG00000002233.14","ENSMUSG00000002233",11853,"Rhoc","protein_coding","3",104695691,104701775
"ENSMUSG00000002428.13","ENSMUSG00000002428",20585,"Hltf","protein_coding","3",20111975,20172654
"ENSMUSG00000002455.15","ENSMUSG00000002455",68879,"Prpf6","protein_coding","2",181233661,181297453
"ENSMUSG00000002458.14","ENSMUSG00000002458",56470,"Rgs19","protein_coding","2",181330212,181335770
"ENSMUSG00000002459.18","ENSMUSG00000002459",58175,"Rgs20","protein_coding","1",4979799,5140508
"ENSMUSG00000002546.18","ENSMUSG00000002546",99412,"Golga2","protein_coding","2",32177396,32197933
"ENSMUSG00000002550.17","ENSMUSG00000002550",22245,"Uck1","protein_coding","2",32145014,32150171
"ENSMUSG00000002718.15","ENSMUSG00000002718",110750,"Cse1l","protein_coding","2",166747960,166788309
"ENSMUSG00000002728.15","ENSMUSG00000002728",67877,"Naa20","protein_coding","2",145744019,145758345
"ENSMUSG00000002731.7","ENSMUSG00000002731",23992,"Prkra","protein_coding","2",76460242,76478359
"ENSMUSG00000002732.15","ENSMUSG00000002732",14231,"Fkbp7","protein_coding","2",76493388,76503460
"ENSMUSG00000002733.9","ENSMUSG00000002733",83435,"Plekha3","protein_coding","2",76505625,76527172
"ENSMUSG00000002881.15","ENSMUSG00000002881",17936,"Nab1","protein_coding","1",52496453,52539838
"ENSMUSG00000003051.14","ENSMUSG00000003051",13710,"Elf3","protein_coding","1",135181313,135186306
"ENSMUSG00000003134.11","ENSMUSG00000003134",54610,"Tbc1d8","protein_coding","1",39410573,39517836
"ENSMUSG00000003135.16","ENSMUSG00000003135",52846,"Cnot11","protein_coding","1",39574073,39585970
"ENSMUSG00000003282.10","ENSMUSG00000003282",56711,"Plag1","protein_coding","4",3900996,3938423
"ENSMUSG00000003283.16","ENSMUSG00000003283",15162,"Hck","protein_coding","2",152950388,152993361
"ENSMUSG00000003382.19","ENSMUSG00000003382",27049,"Etv3","protein_coding","3",87432714,87447463
"ENSMUSG00000003418.12","ENSMUSG00000003418",241230,"St8sia6","protein_coding","2",13655832,13798875
"ENSMUSG00000003458.13","ENSMUSG00000003458",59287,"Ncstn","protein_coding","1",171893580,171910362
"ENSMUSG00000003464.14","ENSMUSG00000003464",19298,"Pex19","protein_coding","1",171954322,171964060
"ENSMUSG00000003604.15","ENSMUSG00000003604",74268,"Aven","protein_coding","2",112323309,112464918
"ENSMUSG00000003617.17","ENSMUSG00000003617",12870,"Cp","protein_coding","3",20011218,20063309
"ENSMUSG00000003660.11","ENSMUSG00000003660",320632,"Snrnp200","protein_coding","2",127050306,127082371
"ENSMUSG00000003662.11","ENSMUSG00000003662",26371,"Ciao1","protein_coding","2",127082858,127089736
"ENSMUSG00000003721.15","ENSMUSG00000003721",72999,"Insig2","protein_coding","1",121232082,121260318
"ENSMUSG00000004031.14","ENSMUSG00000004031",240843,"Brinp2","protein_coding","1",158072839,158183896
"ENSMUSG00000004032.11","ENSMUSG00000004032",14866,"Gstm5","protein_coding","3",107803137,107806002
"ENSMUSG00000004035.13","ENSMUSG00000004035",68312,"Gstm7","protein_coding","3",107833650,107839133
"ENSMUSG00000004038.10","ENSMUSG00000004038",14864,"Gstm3","protein_coding","3",107871012,107876599
"ENSMUSG00000004085.15","ENSMUSG00000004085",65964,"Map3k20","protein_coding","2",72115981,72272954
"ENSMUSG00000004105.9","ENSMUSG00000004105",26360,"Angptl2","protein_coding","2",33106081,33137729
"ENSMUSG00000004110.18","ENSMUSG00000004110",12290,"Cacna1e","protein_coding","1",154266477,154760247
"ENSMUSG00000004113.19","ENSMUSG00000004113",12287,"Cacna1b","protein_coding","2",24493899,24653164
"ENSMUSG00000004127.13","ENSMUSG00000004127",108943,"Trmt10a","protein_coding","3",137849209,137865582
"ENSMUSG00000004233.15","ENSMUSG00000004233",70560,"Wars2","protein_coding","3",99048384,99146502
"ENSMUSG00000004364.15","ENSMUSG00000004364",26554,"Cul3","protein_coding","1",80242640,80318197
"ENSMUSG00000004451.15","ENSMUSG00000004451",64143,"Ralb","protein_coding","1",119398035,119432524
"ENSMUSG00000004552.17","ENSMUSG00000004552",13034,"Ctse","protein_coding","1",131566044,131603243
"ENSMUSG00000004591.17","ENSMUSG00000004591",109333,"Pkn2","protein_coding","3",142496663,142587765
"ENSMUSG00000004707.15","ENSMUSG00000004707",17085,"Ly9","protein_coding","1",171416192,171434978
"ENSMUSG00000004709.15","ENSMUSG00000004709",18106,"Cd244a","protein_coding","1",171386761,171437314
"ENSMUSG00000004768.15","ENSMUSG00000004768",19335,"Rab23","protein_coding","1",33758968,33781645
"ENSMUSG00000004880.12","ENSMUSG00000004880",98386,"Lbr","protein_coding","1",181642900,181670611
"ENSMUSG00000004885.6","ENSMUSG00000004885",12904,"Crabp2","protein_coding","3",87855973,87860683
"ENSMUSG00000004891.17","ENSMUSG00000004891",18008,"Nes","protein_coding","3",87878385,87887758
"ENSMUSG00000004892.14","ENSMUSG00000004892",12032,"Bcan","protein_coding","3",87894838,87907537
"ENSMUSG00000004894.11","ENSMUSG00000004894",73940,"Hapln2","protein_coding","3",87929057,87934890
"ENSMUSG00000004895.10","ENSMUSG00000004895",94315,"Prcc","protein_coding","3",87766210,87792915
"ENSMUSG00000004896.17","ENSMUSG00000004896",229503,"Rrnad1","protein_coding","3",87829908,87838024
"ENSMUSG00000004897.17","ENSMUSG00000004897",15191,"Hdgf","protein_coding","3",87813628,87823439
"ENSMUSG00000005034.16","ENSMUSG00000005034",18749,"Prkacb","protein_coding","3",146435329,146518745
"ENSMUSG00000005087.18","ENSMUSG00000005087",12505,"Cd44","protein_coding","2",102641486,102732010
"ENSMUSG00000005089.16","ENSMUSG00000005089",20511,"Slc1a2","protein_coding","2",102489004,102621129
"ENSMUSG00000005102.14","ENSMUSG00000005102",27103,"Eif2ak4","protein_coding","2",118219099,118305715
"ENSMUSG00000005233.17","ENSMUSG00000005233",66442,"Spc25","protein_coding","2",69024239,69036538
"ENSMUSG00000005338.15","ENSMUSG00000005338",94332,"Cadm3","protein_coding","1",173160825,173195261
"ENSMUSG00000005493.16","ENSMUSG00000005493",55993,"Msh4","protein_coding","3",153562786,153611775
"ENSMUSG00000005501.15","ENSMUSG00000005501",227334,"Usp40","protein_coding","1",87872841,87936273
"ENSMUSG00000005505.13","ENSMUSG00000005505",67136,"Kbtbd4","protein_coding","2",90735084,90741970
"ENSMUSG00000005506.17","ENSMUSG00000005506",13046,"Celf1","protein_coding","2",90770727,90849842
"ENSMUSG00000005510.10","ENSMUSG00000005510",68349,"Ndufs3","protein_coding","2",90724978,90735171
"ENSMUSG00000005625.16","ENSMUSG00000005625",19185,"Psmd4","protein_coding","3",94940005,94949925
"ENSMUSG00000005628.13","ENSMUSG00000005628",50874,"Tmod4","protein_coding","3",95031787,95036520
"ENSMUSG00000005640.12","ENSMUSG00000005640",23920,"Insrr","protein_coding","3",87704258,87723408
"ENSMUSG00000005674.10","ENSMUSG00000005674",641376,"Tomm40l","protein_coding","1",171043580,171050083
"ENSMUSG00000005677.15","ENSMUSG00000005677",12355,"Nr1i3","protein_coding","1",171041539,171048270
"ENSMUSG00000005687.15","ENSMUSG00000005687",68183,"Bcas2","protein_coding","3",103078971,103086482
"ENSMUSG00000005763.16","ENSMUSG00000005763",12503,"Cd247","protein_coding","1",165616250,165704846
"ENSMUSG00000005774.13","ENSMUSG00000005774",53970,"Rfx5","protein_coding","3",94861386,94868872
"ENSMUSG00000005779.13","ENSMUSG00000005779",19172,"Psmb4","protein_coding","3",94791404,94794272
"ENSMUSG00000005802.13","ENSMUSG00000005802",22785,"Slc30a4","protein_coding","2",122523153,122544583
"ENSMUSG00000005803.15","ENSMUSG00000005803",59010,"Sqor","protein_coding","2",122607157,122651489
"ENSMUSG00000005804.15","ENSMUSG00000005804",18457,"Bloc1s6","protein_coding","2",122580423,122591395
"ENSMUSG00000005813.13","ENSMUSG00000005813",75624,"Metap1","protein_coding","3",138164717,138195276
"ENSMUSG00000005881.14","ENSMUSG00000005881",66366,"Ergic3","protein_coding","2",155849965,155860199
"ENSMUSG00000005882.19","ENSMUSG00000005882",56046,"Uqcc1","protein_coding","2",155688814,155772230
"ENSMUSG00000005883.16","ENSMUSG00000005883",26972,"Spo11","protein_coding","2",172819493,172835369
"ENSMUSG00000005886.15","ENSMUSG00000005886",17978,"Ncoa2","protein_coding","1",13209329,13444307
"ENSMUSG00000005968.15","ENSMUSG00000005968",22156,"Tuft1","protein_coding","3",94520064,94566179
"ENSMUSG00000005973.7","ENSMUSG00000005973",19672,"Rcn1","protein_coding","2",105216636,105229664
"ENSMUSG00000006005.19","ENSMUSG00000006005",108989,"Tpr","protein_coding","1",150268589,150325686
"ENSMUSG00000006010.15","ENSMUSG00000006010",226499,"Odr4","protein_coding","1",150237056,150268831
"ENSMUSG00000006014.17","ENSMUSG00000006014",96875,"Prg4","protein_coding","1",150325163,150341916
"ENSMUSG00000006299.14","ENSMUSG00000006299",227290,"Aamp","protein_coding","1",74318999,74323897
"ENSMUSG00000006301.18","ENSMUSG00000006301",69660,"Tmbim1","protein_coding","1",74327406,74344781
"ENSMUSG00000006304.15","ENSMUSG00000006304",76709,"Arpc2","protein_coding","1",74275243,74307368
"ENSMUSG00000006403.14","ENSMUSG00000006403",240913,"Adamts4","protein_coding","1",171077990,171088206
"ENSMUSG00000006411.13","ENSMUSG00000006411",71740,"Nectin4","protein_coding","1",171197667,171216166
"ENSMUSG00000006412.11","ENSMUSG00000006412",18637,"Pfdn2","protein_coding","1",171173238,171186822
"ENSMUSG00000006418.18","ENSMUSG00000006418",81018,"Rnf114","protein_coding","2",167334565,167358093
"ENSMUSG00000006469.14","ENSMUSG00000006469",142681,"Slc34a3","protein_coding","2",25118910,25124376
"ENSMUSG00000006471.19","ENSMUSG00000006471",78797,"Ndor1","protein_coding","2",25134833,25146034
"ENSMUSG00000006476.20","ENSMUSG00000006476",56876,"Nsmf","protein_coding","2",24944367,24952893
"ENSMUSG00000006494.12","ENSMUSG00000006494",228026,"Pdk1","protein_coding","2",71703568,71734202
"ENSMUSG00000006538.13","ENSMUSG00000006538",16147,"Ihh","protein_coding","1",74984474,74990831
"ENSMUSG00000006542.14","ENSMUSG00000006542",241113,"Prkag3","protein_coding","1",74778081,74788380
"ENSMUSG00000006576.17","ENSMUSG00000006576",20536,"Slc4a3","protein_coding","1",75522910,75538816
"ENSMUSG00000006586.16","ENSMUSG00000006586",12395,"Runx1t1","protein_coding","4",13743436,13893649
"ENSMUSG00000006800.15","ENSMUSG00000006800",72043,"Sulf2","protein_coding","2",165915009,165997583
"ENSMUSG00000007097.15","ENSMUSG00000007097",98660,"Atp1a2","protein_coding","1",172099276,172125631
"ENSMUSG00000007107.7","ENSMUSG00000007107",27222,"Atp1a4","protein_coding","1",172051080,172085981
"ENSMUSG00000007122.12","ENSMUSG00000007122",12372,"Casq1","protein_coding","1",172037461,172047435
"ENSMUSG00000007379.16","ENSMUSG00000007379",329727,"Dennd2c","protein_coding","3",103009920,103077085
"ENSMUSG00000007476.19","ENSMUSG00000007476",241296,"Lrrc8a","protein_coding","2",30127727,30153802
"ENSMUSG00000007659.19","ENSMUSG00000007659",12048,"Bcl2l1","protein_coding","2",152622588,152673648
"ENSMUSG00000007805.5","ENSMUSG00000007805",13345,"Twist2","protein_coding","1",91729183,91775750
"ENSMUSG00000008136.15","ENSMUSG00000008136",14200,"Fhl2","protein_coding","1",43162234,43236144
"ENSMUSG00000008200.16","ENSMUSG00000008200",55935,"Fnbp4","protein_coding","2",90575714,90611365
"ENSMUSG00000008226.15","ENSMUSG00000008226",74616,"Scrn3","protein_coding","2",73142945,73168162
"ENSMUSG00000008333.13","ENSMUSG00000008333",20639,"Snrpb2","protein_coding","2",142904959,142914773
"ENSMUSG00000008475.14","ENSMUSG00000008475",67771,"Arpc5","protein_coding","1",152642293,152651348
"ENSMUSG00000008601.13","ENSMUSG00000008601",53868,"Rab25","protein_coding","3",88449336,88455607
"ENSMUSG00000008604.12","ENSMUSG00000008604",94232,"Ubqln4","protein_coding","3",88461065,88477032
"ENSMUSG00000008730.18","ENSMUSG00000008730",15257,"Hipk1","protein_coding","3",103647131,103698879
"ENSMUSG00000008763.17","ENSMUSG00000008763",17156,"Man1a2","protein_coding","3",100469524,100592819
"ENSMUSG00000008958.15","ENSMUSG00000008958",21427,"Vps72","protein_coding","3",95018333,95030362
"ENSMUSG00000008999.8","ENSMUSG00000008999",12162,"Bmp7","protein_coding","2",172709805,172782114
"ENSMUSG00000009030.15","ENSMUSG00000009030",67466,"Pdcl","protein_coding","2",37240086,37249344
"ENSMUSG00000009108.16","ENSMUSG00000009108",14686,"Gnat2","protein_coding","3",108000105,108008748
"ENSMUSG00000009207.16","ENSMUSG00000009207",69605,"Lnpk","protein_coding","2",74350635,74409779
"ENSMUSG00000009214.10","ENSMUSG00000009214",66139,"Mymk","protein_coding","2",26951648,26962191
"ENSMUSG00000009216.8","ENSMUSG00000009216",109349,"Fam163b","protein_coding","2",27000392,27032503
"ENSMUSG00000009418.17","ENSMUSG00000009418",215690,"Nav1","protein_coding","1",135362318,135615843
"ENSMUSG00000009549.15","ENSMUSG00000009549",20813,"Srp14","protein_coding","2",118306331,118310192
"ENSMUSG00000009555.17","ENSMUSG00000009555",107951,"Cdk9","protein_coding","2",32595796,32603088
"ENSMUSG00000009563.17","ENSMUSG00000009563",30933,"Tor2a","protein_coding","2",32647246,32652256
"ENSMUSG00000009566.13","ENSMUSG00000009566",14287,"Fpgs","protein_coding","2",32572621,32594157
"ENSMUSG00000009614.17","ENSMUSG00000009614",192166,"Sardh","protein_coding","2",27078405,27138349
"ENSMUSG00000009621.19","ENSMUSG00000009621",22325,"Vav2","protein_coding","2",27152116,27317045
"ENSMUSG00000009633.4","ENSMUSG00000009633",14373,"G0s2","protein_coding","1",192954469,192955525
"ENSMUSG00000009772.16","ENSMUSG00000009772",74137,"Nuak2","protein_coding","1",132243864,132261226
"ENSMUSG00000009876.14","ENSMUSG00000009876",84682,"Cox4i2","protein_coding","2",152596093,152606957
"ENSMUSG00000009905.6","ENSMUSG00000009905",70750,"Kdsr","protein_coding","1",106648189,106687457
"ENSMUSG00000009907.18","ENSMUSG00000009907",20479,"Vps4b","protein_coding","1",106691801,106724458
"ENSMUSG00000010136.15","ENSMUSG00000010136",100503311,"Pifo","protein_coding","3",105904273,105921962
"ENSMUSG00000010175.14","ENSMUSG00000010175",19130,"Prox1","protein_coding","1",189850232,189902911
"ENSMUSG00000010290.8","ENSMUSG00000010290",98404,"AI597479","protein_coding","1",43137870,43155107
"ENSMUSG00000010311.16","ENSMUSG00000010311",269120,"Optc","protein_coding","1",133824937,133835737
"ENSMUSG00000010453.13","ENSMUSG00000010453",226976,"Kansl3","protein_coding","1",36374811,36408262
"ENSMUSG00000010505.17","ENSMUSG00000010505",17932,"Myt1","protein_coding","2",181405125,181469590
"ENSMUSG00000010538.15","ENSMUSG00000010538",76927,"Tsacc","protein_coding","3",88190064,88204306
"ENSMUSG00000010609.16","ENSMUSG00000010609",19165,"Psen2","protein_coding","1",180054569,180091003
"ENSMUSG00000010911.13","ENSMUSG00000010911",56369,"Apip","protein_coding","2",102904020,102922989
"ENSMUSG00000010914.11","ENSMUSG00000010914",27402,"Pdhx","protein_coding","2",102851420,102903858
"ENSMUSG00000011008.14","ENSMUSG00000011008",68279,"Mcoln2","protein_coding","3",145855588,145901268
"ENSMUSG00000011463.6","ENSMUSG00000011463",76703,"Cpb1","protein_coding","3",20302428,20329897
"ENSMUSG00000012187.14","ENSMUSG00000012187",68393,"Mogat1","protein_coding","1",78487628,78514810
"ENSMUSG00000012350.16","ENSMUSG00000012350",13661,"Ehf","protein_coding","2",103093778,103133623
"ENSMUSG00000013275.10","ENSMUSG00000013275",98396,"Slc41a1","protein_coding","1",131755231,131776603
"ENSMUSG00000013338.17","ENSMUSG00000013338",74562,"Fer1l4","protein_coding","2",155861059,155894867
"ENSMUSG00000013465.20","ENSMUSG00000013465",58202,"Nelfb","protein_coding","2",25089724,25101501
"ENSMUSG00000013523.14","ENSMUSG00000013523",76960,"Bcas1","protein_coding","2",170188911,170269765
"ENSMUSG00000013593.13","ENSMUSG00000013593",226646,"Ndufs2","protein_coding","1",171062422,171078957
"ENSMUSG00000013698.13","ENSMUSG00000013698",18611,"Pea15a","protein_coding","1",172024295,172034371
"ENSMUSG00000013707.4","ENSMUSG00000013707",69769,"Tnfaip8l2","protein_coding","3",95046832,95049671
"ENSMUSG00000013973.13","ENSMUSG00000013973",21945,"Dedd","protein_coding","1",171156713,171169899
"ENSMUSG00000013997.11","ENSMUSG00000013997",27045,"Nit1","protein_coding","1",171165576,171173214
"ENSMUSG00000014077.14","ENSMUSG00000014077",56398,"Chp1","protein_coding","2",119378178,119417508
"ENSMUSG00000014226.11","ENSMUSG00000014226",12301,"Cacybp","protein_coding","1",160029937,160040445
"ENSMUSG00000014353.16","ENSMUSG00000014353",72477,"Tmem87b","protein_coding","2",128660038,128696181
"ENSMUSG00000014355.11","ENSMUSG00000014355",17222,"Anapc1","protein_coding","2",128452024,128529311
"ENSMUSG00000014361.6","ENSMUSG00000014361",17289,"Mertk","protein_coding","2",128540876,128644814
"ENSMUSG00000014599.11","ENSMUSG00000014599",12977,"Csf1","protein_coding","3",107648364,107667785
"ENSMUSG00000014601.14","ENSMUSG00000014601",229707,"Strip1","protein_coding","3",107519848,107539010
"ENSMUSG00000014602.16","ENSMUSG00000014602",16560,"Kif1a","protein_coding","1",92943186,93029673
"ENSMUSG00000014603.4","ENSMUSG00000014603",11694,"Alx3","protein_coding","3",107502347,107513092
"ENSMUSG00000014852.17","ENSMUSG00000014852",279028,"Adamts13","protein_coding","2",26863428,26899640
"ENSMUSG00000014867.10","ENSMUSG00000014867",20932,"Surf4","protein_coding","2",26810052,26823940
"ENSMUSG00000014873.16","ENSMUSG00000014873",20931,"Surf2","protein_coding","2",26806379,26810195
"ENSMUSG00000014959.13","ENSMUSG00000014959",70231,"Gorasp2","protein_coding","2",70491920,70542980
"ENSMUSG00000014980.15","ENSMUSG00000014980",66637,"Tsen15","protein_coding","1",152246486,152262439
"ENSMUSG00000015083.12","ENSMUSG00000015083",69379,"C8g","protein_coding","2",25388663,25391731
"ENSMUSG00000015085.9","ENSMUSG00000015085",12496,"Entpd2","protein_coding","2",25285886,25291333
"ENSMUSG00000015087.15","ENSMUSG00000015087",227624,"Rabl6","protein_coding","2",25473030,25498533
"ENSMUSG00000015090.14","ENSMUSG00000015090",19215,"Ptgds","protein_coding","2",25356721,25360058
"ENSMUSG00000015092.10","ENSMUSG00000015092",59022,"Edf1","protein_coding","2",25447859,25452094
"ENSMUSG00000015093.16","ENSMUSG00000015093",69454,"Clic3","protein_coding","2",25346850,25348788
"ENSMUSG00000015094.17","ENSMUSG00000015094",18146,"Npdc1","protein_coding","2",25289363,25299506
"ENSMUSG00000015095.13","ENSMUSG00000015095",30839,"Fbxw5","protein_coding","2",25390762,25395483
"ENSMUSG00000015222.19","ENSMUSG00000015222",17756,"Map2","protein_coding","1",66214432,66481742
"ENSMUSG00000015314.11","ENSMUSG00000015314",30925,"Slamf6","protein_coding","1",171745082,171780737
"ENSMUSG00000015316.12","ENSMUSG00000015316",27218,"Slamf1","protein_coding","1",171594695,171628752
"ENSMUSG00000015335.17","ENSMUSG00000015335",66220,"Zdhhc12","protein_coding","2",29980956,29983660
"ENSMUSG00000015337.6","ENSMUSG00000015337",13804,"Endog","protein_coding","2",30061505,30064081
"ENSMUSG00000015355.14","ENSMUSG00000015355",12506,"Cd48","protein_coding","1",171509577,171532826
"ENSMUSG00000015484.4","ENSMUSG00000015484",329274,"Fam163a","protein_coding","1",155951712,156032596
"ENSMUSG00000015488.15","ENSMUSG00000015488",381356,"Cacfd1","protein_coding","2",26899938,26911101
"ENSMUSG00000015522.19","ENSMUSG00000015522",11863,"Arnt","protein_coding","3",95341699,95404551
"ENSMUSG00000015619.11","ENSMUSG00000015619",14462,"Gata3","protein_coding","2",9861889,9894845
"ENSMUSG00000015647.10","ENSMUSG00000015647",16776,"Lama5","protein_coding","2",179818166,179867652
"ENSMUSG00000015697.15","ENSMUSG00000015697",84505,"Setdb1","protein_coding","3",95230836,95264513
"ENSMUSG00000015702.14","ENSMUSG00000015702",71790,"Anxa9","protein_coding","3",95203407,95214487
"ENSMUSG00000015711.9","ENSMUSG00000015711",229589,"Prune1","protein_coding","3",95160985,95189387
"ENSMUSG00000015714.12","ENSMUSG00000015714",76893,"Cers2","protein_coding","3",95222102,95230910
"ENSMUSG00000015745.10","ENSMUSG00000015745",67220,"Plekho1","protein_coding","3",95895741,95903313
"ENSMUSG00000015747.6","ENSMUSG00000015747",22365,"Vps45","protein_coding","3",95907144,95965778
"ENSMUSG00000015748.14","ENSMUSG00000015748",70767,"Prpf3","protein_coding","3",95737436,95763197
"ENSMUSG00000015749.13","ENSMUSG00000015749",66471,"Anp32e","protein_coding","3",95836558,95854702
"ENSMUSG00000015750.16","ENSMUSG00000015750",226548,"Aph1a","protein_coding","3",95801281,95805600
"ENSMUSG00000015776.13","ENSMUSG00000015776",20933,"Med22","protein_coding","2",26795274,26800689
"ENSMUSG00000015790.17","ENSMUSG00000015790",20930,"Surf1","protein_coding","2",26803393,26806542
"ENSMUSG00000015829.14","ENSMUSG00000015829",21960,"Tnr","protein_coding","1",159351339,159759299
"ENSMUSG00000015839.7","ENSMUSG00000015839",18024,"Nfe2l2","protein_coding","2",75505857,75534985
"ENSMUSG00000015843.11","ENSMUSG00000015843",20183,"Rxrg","protein_coding","1",167425953,167467192
"ENSMUSG00000015846.16","ENSMUSG00000015846",20181,"Rxra","protein_coding","2",27566452,27652969
