"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensemblid","entrezgene","gene_symbol","gene_biotype","chromosome_name","chromosome_start","chromosome_end"
"37","ENSMUSG00000004151.18",1592.35154952933,-0.231777214084048,0.0455738397696869,-5.08575128309055,3.66173658998823e-07,0.000160295517469815,"ENSMUSG00000004151",14009,"Etv1","protein_coding","12",38829379,38920483
"38","ENSMUSG00000020264.6",174.330528458363,-0.379291771415321,0.0748557317124849,-5.06697032729774,4.04197260509457e-07,0.000168879997502859,"ENSMUSG00000020264",246049,"Slc36a2","protein_coding","11",55049296,55075903
"39","ENSMUSG00000028886.16",1274.11133927808,0.216414362870423,0.042838019497588,5.05192269410607,4.373847334458e-07,0.000178060446485102,"ENSMUSG00000028886",14050,"Eya3","protein_coding","4",132366298,132452076
"40","ENSMUSG00000074364.7",722.344571545211,-0.28739024298042,0.0569795033878483,-5.04374776705601,4.56500986292945e-07,0.000181196653984327,"ENSMUSG00000074364",259300,"Ehd2","protein_coding","7",15680883,15701492
"41","ENSMUSG00000005087.18",453.589293372192,-0.369661794330573,0.0734501896435663,-5.03282287117897,4.833096524159e-07,0.000187158715887982,"ENSMUSG00000005087",12505,"Cd44","protein_coding","2",102641486,102732010
"42","ENSMUSG00000035383.8",2245.72462071725,1.35886763009951,0.270649528385575,5.02076481789997,5.14661424929653e-07,0.00019455427246686,"ENSMUSG00000035383",110312,"Pmch","protein_coding","10",87926934,87928237
"43","ENSMUSG00000041797.8",870.757451887519,-0.370070441664812,0.0745980251821932,-4.96086110538419,7.0181362752306e-07,0.000259132441027526,"ENSMUSG00000041797",217262,"Abca9","protein_coding","11",109991575,110059022
"44","ENSMUSG00000031207.17",2168.16475181463,-0.189421174535907,0.0382534752759394,-4.95173767009476,7.35537147998915e-07,0.000265411893154063,"ENSMUSG00000031207",17698,"Msn","protein_coding","X",95139648,95212158
"45","ENSMUSG00000036480.10",55.0082970374202,0.832413907771284,0.168977444768441,4.92618354427118,8.38512375953567e-07,0.000276625500613341,"ENSMUSG00000036480",69453,"Prss56","protein_coding","1",87111035,87116127
"46","ENSMUSG00000050558.14",1108.03401501873,-0.414210174637726,0.0840176194476591,-4.93003940555312,8.22130318507967e-07,0.000276625500613341,"ENSMUSG00000050558",246313,"Prokr2","protein_coding","2",132179653,132227367
"47","ENSMUSG00000028927.7",4006.33780797734,-0.29761323819425,0.0603939916448499,-4.92786169764007,8.31344280541008e-07,0.000276625500613341,"ENSMUSG00000028927",18600,"Padi2","protein_coding","4",140633655,140679897
"48","ENSMUSG00000022514.15",1510.36418671584,-0.246524343725087,0.0500794320617731,-4.92266652347412,8.53728634506121e-07,0.000276625500613341,"ENSMUSG00000022514",16180,"Il1rap","protein_coding","16",26400454,26548867
"49","ENSMUSG00000024979.14",3.21942630503906,1.36948528603861,0.277280646315174,4.93898620130152,7.85297685205084e-07,0.000276625500613341,"ENSMUSG00000024979",21684,"Tectb","protein_coding","19",55169165,55184745
"50","ENSMUSG00000062980.16",597.200858332595,-0.445235596086244,0.0905769891412198,-4.9155486432881,8.85341634274477e-07,0.000280848471011612,"ENSMUSG00000062980",214642,"Cped1","protein_coding","6",21985915,22256403
"51","ENSMUSG00000021756.13",12541.6765615836,-0.143312966969676,0.0291768920535595,-4.91186541412975,9.02139700295536e-07,0.000280848471011612,"ENSMUSG00000021756",16195,"Il6st","protein_coding","13",112600604,112646620
"52","ENSMUSG00000034903.19",869.328487536352,-0.245701859351809,0.050068591451603,-4.90730520328913,9.23362883510939e-07,0.00028192754810583,"ENSMUSG00000034903",319876,"Cobll1","protein_coding","2",64918683,65069747
"53","ENSMUSG00000039831.17",1206.37722866694,-0.295046351759077,0.0602446698103126,-4.8974681525862,9.70793618885318e-07,0.000288779344112819,"ENSMUSG00000039831",214137,"Arhgap29","protein_coding","3",121746190,121810402
"54","ENSMUSG00000025825.13",4850.5565704235,0.109154364796616,0.022298356156404,4.89517541252775,9.82180801290687e-07,0.000288779344112819,"ENSMUSG00000025825",66383,"Iscu","protein_coding","5",113910809,113916349
"55","ENSMUSG00000047976.5",1516.59075509719,-0.244176155918486,0.0500105753351135,-4.88249043891811,1.04754320081625e-06,0.000296997203559992,"ENSMUSG00000047976",16485,"Kcna1","protein_coding","6",126617360,126623347
"56","ENSMUSG00000039116.8",335.772947590249,-0.374877638915029,0.0767388916838109,-4.88510624390624,1.03373097007139e-06,0.000296997203559992,"ENSMUSG00000039116",215798,"Adgrg6","protein_coding","10",14278327,14421403
"57","ENSMUSG00000038349.11",3614.02993929517,-0.161191867351643,0.0330384782225371,-4.87891319527199,1.06671995512355e-06,0.000297128293464851,"ENSMUSG00000038349",227120,"Plcl1","protein_coding","1",55445080,55793444
"58","ENSMUSG00000039661.15",4288.7663615398,0.108272645913019,0.0222145436965012,4.8739531809547,1.09386924428506e-06,0.000299437275715756,"ENSMUSG00000039661",66959,"Dusp26","protein_coding","8",31579499,31587075
"59","ENSMUSG00000020841.6",6352.86873910554,-0.17552456820215,0.036066441414117,-4.86670049275909,1.13476799173101e-06,0.000304790190291208,"ENSMUSG00000020841",12874,"Cpd","protein_coding","11",76669250,76737844
"60","ENSMUSG00000055692.22",1446.10475017829,0.144777589316491,0.0297666530284206,4.86375102965927,1.1518178130297e-06,0.000304790190291208,"ENSMUSG00000055692",224019,"Tmem191","protein_coding","16",17093941,17101093
"61","ENSMUSG00000040584.9",2027.49967113694,-0.223135100390318,0.0459080705555616,-4.86047654998399,1.17103515398337e-06,0.000304795494094983,"ENSMUSG00000040584",18671,"Abcb1a","protein_coding","5",8710077,8798575
"62","ENSMUSG00000051329.14",642.224278940184,-0.123912123053103,0.0255198741795573,-4.85551465423613,1.20074473626176e-06,0.000307487486735934,"ENSMUSG00000051329",59015,"Nup160","protein_coding","2",90507559,90566672
"63","ENSMUSG00000038085.14",233.66936647705,0.235167321197667,0.0485667898014222,4.8421425867184,1.28446536771013e-06,0.000308991767320209,"ENSMUSG00000038085",70873,"Cnbd2","protein_coding","2",156154219,156217558
"64","ENSMUSG00000030200.14",4.61625467264525,1.8211008234587,0.376080778022426,4.84231295477194,1.28336423412712e-06,0.000308991767320209,"ENSMUSG00000030200",66813,"Bcl2l14","protein_coding","6",134373281,134415699
"65","ENSMUSG00000075707.7",29.8646903235435,-0.827547114753342,0.170756107010004,-4.84636906546984,1.25741507374201e-06,0.000308991767320209,"ENSMUSG00000075707",107585,"Dio3","protein_coding","12",110245502,110247531
"66","ENSMUSG00000024530.9",772.880863064126,0.143305726964005,0.0295664248560167,4.84690751965714,1.25400847196905e-06,0.000308991767320209,"ENSMUSG00000024530",225655,"Prelid3a","protein_coding","18",67597936,67612905
"67","ENSMUSG00000037493.7",1789.92909825252,0.133736135632523,0.027648453286877,4.83702051051078,1.31799832646667e-06,0.000312326260138974,"ENSMUSG00000037493",56506,"Cib2","protein_coding","9",54452078,54467502
"68","ENSMUSG00000037820.16",912.165935945375,-0.259044375190426,0.0537255594336727,-4.82162266751696,1.42395111909417e-06,0.000322972455969401,"ENSMUSG00000037820",21817,"Tgm2","protein_coding","2",157958322,157988356
"69","ENSMUSG00000027695.17",652.23513475483,-0.216748053034675,0.0449386418258197,-4.82319990610266,1.41273253395996e-06,0.000322972455969401,"ENSMUSG00000027695",18805,"Pld1","protein_coding","3",27992844,28187511
"70","ENSMUSG00000042842.12",106.397124174104,-0.302822302360265,0.0627348953596714,-4.82701534168704,1.38594448739178e-06,0.000322972455969401,"ENSMUSG00000042842",20708,"Serpinb6b","protein_coding","13",33149192,33163050
"71","ENSMUSG00000034648.10",4491.95082732177,-0.134511410023216,0.027965659927669,-4.80987791352394,1.51022509404461e-06,0.000337716110114735,"ENSMUSG00000034648",16979,"Lrrn1","protein_coding","6",107506729,107547175
"72","ENSMUSG00000041548.5",1924.36327437345,-0.279499018451085,0.058301953381056,-4.79399063397251,1.63495910472719e-06,0.000355981177581891,"ENSMUSG00000041548",80888,"Hspb8","protein_coding","5",116546550,116560923
"73","ENSMUSG00000024413.15",4848.50267233246,-0.188086301629161,0.0392355580792035,-4.79377153880359,1.63674661229943e-06,0.000355981177581891,"ENSMUSG00000024413",18145,"Npc1","protein_coding","18",12322749,12369457
"74","ENSMUSG00000047735.15",295.537978509102,-0.328049862866226,0.0685629583905667,-4.78465151689488,1.71284247559664e-06,0.000358627887310972,"ENSMUSG00000047735",209086,"Samd9l","protein_coding","6",3372257,3399572
"75","ENSMUSG00000051727.15",65.804781280545,-0.458865227020455,0.0959125938411076,-4.78420203900051,1.71667943790602e-06,0.000358627887310972,"ENSMUSG00000051727",233529,"Kctd14","protein_coding","7",97100530,97108764
"76","ENSMUSG00000019947.11",1956.172044955,-0.174469706106937,0.036437448935803,-4.78819761543474,1.68285893400641e-06,0.000358627887310972,"ENSMUSG00000019947",71371,"Arid5b","protein_coding","10",67928350,68114570
"77","ENSMUSG00000026193.16",7807.41482153179,-0.454765786803184,0.09512859238206,-4.78053732758635,1.74827292963508e-06,0.000359149239859963,"ENSMUSG00000026193",14268,"Fn1","protein_coding","1",71624679,71692359
"78","ENSMUSG00000020427.12",778.799016828236,-0.251219008976402,0.0525706938265202,-4.7786892409183,1.76441649613133e-06,0.000359149239859963,"ENSMUSG00000020427",16009,"Igfbp3","protein_coding","11",7156086,7163923
"79","ENSMUSG00000075254.13",1357.80566124501,-0.184989802240635,0.038808321887697,-4.76675602660574,1.87215783944987e-06,0.000376256329328426,"ENSMUSG00000075254",77446,"Heg1","protein_coding","16",33504740,33591946
"80","ENSMUSG00000040605.8",491.709082815342,-0.266926937948385,0.0561700263609265,-4.75212413526776,2.0129072230701e-06,0.000399486599758549,"ENSMUSG00000040605",56175,"Bace2","protein_coding","16",97157942,97244136
"81","ENSMUSG00000030516.15",4924.31324488009,-0.149366395972563,0.0315015803761889,-4.74155246145889,2.12086721346249e-06,0.000410646448148098,"ENSMUSG00000030516",21872,"Tjp1","protein_coding","7",64945913,65177529
"82","ENSMUSG00000031328.17",3429.15695138793,-0.230494985835342,0.048594380540163,-4.74324362762149,2.10323071576105e-06,0.000410646448148098,"ENSMUSG00000031328",192176,"Flna","protein_coding","X",73267067,73293426
"83","ENSMUSG00000089665.3",61.784992636846,0.256376975674297,0.0541258366682439,4.73668383632979,2.17243677303468e-06,0.000415563598138212,"ENSMUSG00000089665",100503924,"Fcor","protein_coding","8",3721188,3722362
"84","ENSMUSG00000029802.14",780.438177062963,-0.210186383788548,0.0444277978024389,-4.73096561578864,2.23454371487215e-06,0.000422355363821728,"ENSMUSG00000029802",26357,"Abcg2","protein_coding","6",58561508,58672661
"85","ENSMUSG00000015647.10",542.392281558337,-0.210532435602253,0.0446610804409616,-4.71400229290378,2.42897927138468e-06,0.000453704751667937,"ENSMUSG00000015647",16776,"Lama5","protein_coding","2",179818166,179867652
"86","ENSMUSG00000039062.16",358.215480846295,-0.438612311249409,0.0933377278319101,-4.6991963639751,2.61187230806738e-06,0.000457095059936871,"ENSMUSG00000039062",16790,"Anpep","protein_coding","7",79471551,79510807
"87","ENSMUSG00000047712.9",1959.18629904179,-0.138165523398016,0.0294058542868869,-4.69857199352405,2.61986839165178e-06,0.000457095059936871,"ENSMUSG00000047712",338362,"Ust","protein_coding","10",8080520,8394589
"88","ENSMUSG00000050295.5",643.701660427593,-0.396120577625443,0.0841264354605093,-4.70863380169471,2.49382640374704e-06,0.000457095059936871,"ENSMUSG00000050295",17300,"Foxc1","protein_coding","13",31990616,31996459
"89","ENSMUSG00000034789.9",2119.3021179081,0.117069970774051,0.0248939289111974,4.70275187141682,2.56678281342223e-06,0.000457095059936871,"ENSMUSG00000034789",19336,"Rab24","protein_coding","13",55467556,55469759
"90","ENSMUSG00000035790.16",1322.49180529309,0.110889610651152,0.0235877478692181,4.70115295728859,2.58696636368834e-06,0.000457095059936871,"ENSMUSG00000035790",66994,"Cep19","protein_coding","16",31918618,31926887
"91","ENSMUSG00000002006.13",6887.29824115025,0.0963194189564899,0.0204811531856664,4.70283182217974,2.56577755028378e-06,0.000457095059936871,"ENSMUSG00000002006",245469,"Pdzd4","protein_coding","X",72836965,72868575
"92","ENSMUSG00000029207.17",2820.2561805091,-0.127363862267805,0.0271496838278536,-4.69117294607824,2.71643226770094e-06,0.000463750485099869,"ENSMUSG00000029207",11787,"Apbb2","protein_coding","5",66456046,66776127
"93","ENSMUSG00000023923.11",1670.57866807796,-0.1252684187901,0.0266937137557302,-4.69280595185859,2.69483079702097e-06,0.000463750485099869,"ENSMUSG00000023923",72238,"Tbc1d5","protein_coding","17",51040152,51486380
"94","ENSMUSG00000024236.19",834.827544173195,-0.208657955400967,0.0445462628909995,-4.68407318278379,2.81229523072927e-06,0.000470008540824091,"ENSMUSG00000024236",225115,"Svil","protein_coding","18",4920540,5119299
"95","ENSMUSG00000053846.6",65.9757849581811,0.762178564927915,0.162702301188734,4.68449775669608,2.80647240881442e-06,0.000470008540824091,"ENSMUSG00000053846",16891,"Lipg","protein_coding","18",75072393,75094334
"96","ENSMUSG00000027430.13",2694.97275243974,0.101653714005128,0.0217353948041875,4.67687451370993,2.91280377915897e-06,0.000481735266684447,"ENSMUSG00000027430",66044,"Dtd1","protein_coding","2",144441817,144610678
"97","ENSMUSG00000052584.11",2282.10298848716,0.147761192880525,0.0317385731152602,4.65557138765888,3.230834343489e-06,0.000524609672275433,"ENSMUSG00000052584",72661,"Serp2","protein_coding","14",76770254,76794329
"98","ENSMUSG00000006369.15",1614.83246916431,-0.386131089756943,0.0829478467826251,-4.65510685007709,3.23812734666451e-06,0.000524609672275433,"ENSMUSG00000006369",14114,"Fbln1","protein_coding","15",85090150,85170736
"99","ENSMUSG00000028864.8",40.0409629199392,0.716984207234507,0.154224115351947,4.64897597628175,3.33587059850978e-06,0.000534986035278179,"ENSMUSG00000028864",15234,"Hgf","protein_coding","5",16758493,16825150
"100","ENSMUSG00000063796.10",1354.9066418575,-0.34632640416136,0.0745369073986983,-4.64637474571971,3.37819088295881e-06,0.000536355366487371,"ENSMUSG00000063796",19879,"Slc22a8","protein_coding","19",8568618,8589199
"101","ENSMUSG00000026389.17",958.174851964031,-0.237307676167295,0.0511095920344255,-4.64311427114216,3.4319640884939e-06,0.000539497958742749,"ENSMUSG00000026389",68428,"Steap3","protein_coding","1",120118487,120200435
"102","ENSMUSG00000024759.15",2296.29834565274,-0.156695707895607,0.0337992505158729,-4.63607048984768,3.55094916178002e-06,0.000552729606290014,"ENSMUSG00000024759",109168,"Atl3","protein_coding","19",7471405,7517039
"103","ENSMUSG00000026478.15",3199.62405443496,-0.209870563115674,0.0453455817017656,-4.62824723466945,3.68773606187617e-06,0.00056844840246998,"ENSMUSG00000026478",226519,"Lamc1","protein_coding","1",153094668,153208532
"104","ENSMUSG00000037014.5",336.418183061738,-0.259617769017862,0.0561759417000099,-4.62151165002752,3.80953935992389e-06,0.00057790762386233,"ENSMUSG00000037014",20608,"Sstr4","protein_coding","2",148237264,148238687
"105","ENSMUSG00000032092.6",280.7922274094,-0.576384763036799,0.124735935044792,-4.62083971896168,3.82189963504092e-06,0.00057790762386233,"ENSMUSG00000032092",14012,"Mpzl2","protein_coding","9",44951097,44965313
"106","ENSMUSG00000001520.13",896.216589331423,0.132660865551484,0.0287361902106696,4.61650847168419,3.90250098948966e-06,0.000584528379340823,"ENSMUSG00000001520",60345,"Nrip2","protein_coding","6",128376259,128393390
"107","ENSMUSG00000036580.16",3971.6281019418,-0.127654557066368,0.027690205927844,-4.61009778688588,4.0247961110728e-06,0.000597212036032737,"ENSMUSG00000036580",229285,"Spg20","protein_coding","3",55019529,55044743
"108","ENSMUSG00000056665.3",1092.1291778895,0.136487378235999,0.0296197448308917,4.60798629479245,4.06587455682092e-06,0.000597721206839313,"ENSMUSG00000056665",223626,"Them6","protein_coding","15",74593053,74596488
"109","ENSMUSG00000048285.10",1107.11335403975,-0.141836053875642,0.0307942463011474,-4.60592711016791,4.10632217830084e-06,0.000598129148852132,"ENSMUSG00000048285",319710,"Frmd6","protein_coding","12",70872288,70949008
"110","ENSMUSG00000048096.8",100.31306601103,-0.448370168161425,0.0974225809585714,-4.60232282649227,4.17804936324062e-06,0.000603044452183376,"ENSMUSG00000048096",93689,"Lmod1","protein_coding","1",135252545,135295803
"111","ENSMUSG00000060843.12",172.93840792649,-0.303509449846473,0.0659893020679146,-4.59937353988239,4.23763340760839e-06,0.000606134284798184,"ENSMUSG00000060843",216033,"Ctnna3","protein_coding","10",63265877,64839446
"112","ENSMUSG00000022781.9",3308.62652070834,-0.113082587877239,0.0246712906037259,-4.58357001640446,4.57103726652709e-06,0.000647985345362951,"ENSMUSG00000022781",224105,"Pak2","protein_coding","16",31835108,31898160
"113","ENSMUSG00000026604.18",829.210873324626,-0.265571036313203,0.0580608713081734,-4.57401052257062,4.78475792721612e-06,0.000652322398931894,"ENSMUSG00000026604",19250,"Ptpn14","protein_coding","1",189460465,189608892
"114","ENSMUSG00000039361.12",6304.17948542119,-0.0873004746897249,0.0190864767514501,-4.57394394086338,4.78627952346195e-06,0.000652322398931894,"ENSMUSG00000039361",233489,"Picalm","protein_coding","7",89779421,89862673
"115","ENSMUSG00000018166.9",808.00565916776,-0.270144574074116,0.0590354922391135,-4.57596885920659,4.74021058418136e-06,0.000652322398931894,"ENSMUSG00000018166",13867,"Erbb3","protein_coding","10",128403392,128425521
"116","ENSMUSG00000022723.17",617.927135278497,-0.264668421269274,0.0578758592532161,-4.57303657663738,4.80706183000766e-06,0.000652322398931894,"ENSMUSG00000022723",224273,"Crybg3","protein_coding","16",59311138,59421342
"117","ENSMUSG00000023961.17",1673.47029087153,-0.159241415524328,0.0347725673997893,-4.57951274329238,4.66060394060614e-06,0.000652322398931894,"ENSMUSG00000023961",224794,"Enpp4","protein_coding","17",44407199,44416700
"118","ENSMUSG00000026365.16",1639.85226349559,-0.298160858154679,0.0653093626958808,-4.56536162422979,4.98634022455145e-06,0.000659734364543361,"ENSMUSG00000026365",12628,"Cfh","protein_coding","1",140012446,140111502
"119","ENSMUSG00000028967.11",1528.8231466967,-0.173186839479829,0.0379334928153846,-4.56553896375159,4.98212643718069e-06,0.000659734364543361,"ENSMUSG00000028967",74155,"Errfi1","protein_coding","4",150938376,150953349
"120","ENSMUSG00000061702.11",1271.14769644489,0.137496307110378,0.0300977247916496,4.5683289372267,4.91628068753434e-06,0.000659734364543361,"ENSMUSG00000061702",320208,"Tmem91","protein_coding","7",25368564,25374591
"121","ENSMUSG00000037419.10",9414.54344035498,-0.0825709697893211,0.018102001208628,-4.5614277028092,5.08069702126158e-06,0.000666663029806365,"ENSMUSG00000037419",71946,"Endod1","protein_coding","9",14265286,14292803
"122","ENSMUSG00000040867.14",6502.74944335028,0.106121750470377,0.023383354062187,4.53834596132579,5.66971888390841e-06,0.000737853497703391,"ENSMUSG00000040867",380785,"Begain","protein_coding","12",108998113,109034143
"123","ENSMUSG00000032532.8",876.814550719221,0.674637608064028,0.148785347591624,4.53430138776655,5.77944555119523e-06,0.000745116343202199,"ENSMUSG00000032532",12424,"Cck","protein_coding","9",121318890,121324760
"124","ENSMUSG00000044447.6",1179.71281925708,-0.321792297440575,0.0709912060687107,-4.53284730969523,5.81938820665571e-06,0.000745116343202199,"ENSMUSG00000044447",68813,"Dock5","protein_coding","14",67989584,68170891
"125","ENSMUSG00000000093.7",138.972007747233,-0.350919432215123,0.0774605835854872,-4.53029677768746,5.89008879359175e-06,0.00074813551820685,"ENSMUSG00000000093",21385,"Tbx2","protein_coding","11",85723377,85732774
"126","ENSMUSG00000030894.6",2957.80371611346,-0.0895652445034383,0.0197853593373882,-4.52684447000098,5.98709702622961e-06,0.000748481413271241,"ENSMUSG00000030894",12751,"Tpp1","protein_coding","7",105394018,105401442
